N=360: 10800 states, 7646970 moves
t=  1 (theta=   0.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  2 (theta=   1.000 deg): ALL WIN  win=10800/10800 rounds=9
t=  3 (theta=   1.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  4 (theta=   2.000 deg): ALL WIN  win=10800/10800 rounds=8
t=  5 (theta=   2.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  6 (theta=   3.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  7 (theta=   3.500 deg): losesome win=3901/10800 rounds=7  #lose=6899 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 8, 351)]
t=  8 (theta=   4.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  9 (theta=   4.500 deg): ALL WIN  win=10800/10800 rounds=7
t= 10 (theta=   5.000 deg): ALL WIN  win=10800/10800 rounds=7
t=150 (theta=  75.000 deg): losesome win=135/10800 rounds=2  #lose=10665 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=151 (theta=  75.500 deg): losesome win=133/10800 rounds=2  #lose=10667 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=152 (theta=  76.000 deg): losesome win=132/10800 rounds=2  #lose=10668 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=153 (theta=  76.500 deg): losesome win=130/10800 rounds=2  #lose=10670 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=154 (theta=  77.000 deg): losesome win=129/10800 rounds=2  #lose=10671 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=155 (theta=  77.500 deg): losesome win=127/10800 rounds=2  #lose=10673 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=156 (theta=  78.000 deg): losesome win=126/10800 rounds=2  #lose=10674 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=157 (theta=  78.500 deg): losesome win=124/10800 rounds=2  #lose=10676 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=158 (theta=  79.000 deg): losesome win=123/10800 rounds=2  #lose=10677 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=159 (theta=  79.500 deg): losesome win=121/10800 rounds=2  #lose=10679 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=160 (theta=  80.000 deg): losesome win=120/10800 rounds=2  #lose=10680 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=161 (theta=  80.500 deg): losesome win=118/10800 rounds=2  #lose=10682 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=162 (theta=  81.000 deg): losesome win=117/10800 rounds=2  #lose=10683 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=163 (theta=  81.500 deg): losesome win=115/10800 rounds=2  #lose=10685 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=164 (theta=  82.000 deg): losesome win=114/10800 rounds=2  #lose=10686 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=165 (theta=  82.500 deg): losesome win=112/10800 rounds=2  #lose=10688 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=166 (theta=  83.000 deg): losesome win=111/10800 rounds=2  #lose=10689 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=167 (theta=  83.500 deg): losesome win=109/10800 rounds=2  #lose=10691 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=168 (theta=  84.000 deg): losesome win=108/10800 rounds=2  #lose=10692 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=169 (theta=  84.500 deg): losesome win=106/10800 rounds=2  #lose=10694 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=170 (theta=  85.000 deg): losesome win=105/10800 rounds=2  #lose=10695 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=171 (theta=  85.500 deg): losesome win=103/10800 rounds=2  #lose=10697 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=172 (theta=  86.000 deg): losesome win=102/10800 rounds=2  #lose=10698 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=173 (theta=  86.500 deg): losesome win=100/10800 rounds=2  #lose=10700 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=174 (theta=  87.000 deg): losesome win=99/10800 rounds=2  #lose=10701 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=175 (theta=  87.500 deg): losesome win=97/10800 rounds=2  #lose=10703 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=176 (theta=  88.000 deg): losesome win=96/10800 rounds=2  #lose=10704 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=177 (theta=  88.500 deg): losesome win=94/10800 rounds=2  #lose=10706 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 6, 353), (1, 7, 352)]
t=178 (theta=  89.000 deg): losesome win=93/10800 rounds=2  #lose=10707 ex=[(1, 1, 358), (1, 2, 357), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=179 (theta=  89.500 deg): losesome win=91/10800 rounds=2  #lose=10709 ex=[(1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t=180 (theta=  90.000 deg): ALL WIN  win=10800/10800 rounds=2
t=181 (theta=  90.500 deg): losesome win=89/10800 rounds=1  #lose=10711 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=182 (theta=  91.000 deg): losesome win=89/10800 rounds=1  #lose=10711 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=183 (theta=  91.500 deg): losesome win=88/10800 rounds=1  #lose=10712 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=184 (theta=  92.000 deg): losesome win=88/10800 rounds=1  #lose=10712 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=185 (theta=  92.500 deg): losesome win=87/10800 rounds=1  #lose=10713 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=186 (theta=  93.000 deg): losesome win=87/10800 rounds=1  #lose=10713 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=187 (theta=  93.500 deg): losesome win=86/10800 rounds=1  #lose=10714 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=188 (theta=  94.000 deg): losesome win=86/10800 rounds=1  #lose=10714 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=189 (theta=  94.500 deg): losesome win=85/10800 rounds=1  #lose=10715 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=190 (theta=  95.000 deg): losesome win=85/10800 rounds=1  #lose=10715 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=191 (theta=  95.500 deg): losesome win=84/10800 rounds=1  #lose=10716 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=192 (theta=  96.000 deg): losesome win=84/10800 rounds=1  #lose=10716 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=193 (theta=  96.500 deg): losesome win=83/10800 rounds=1  #lose=10717 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=194 (theta=  97.000 deg): losesome win=83/10800 rounds=1  #lose=10717 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=195 (theta=  97.500 deg): losesome win=82/10800 rounds=1  #lose=10718 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=196 (theta=  98.000 deg): losesome win=82/10800 rounds=1  #lose=10718 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=197 (theta=  98.500 deg): losesome win=81/10800 rounds=1  #lose=10719 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=198 (theta=  99.000 deg): losesome win=81/10800 rounds=1  #lose=10719 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=199 (theta=  99.500 deg): losesome win=80/10800 rounds=1  #lose=10720 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=200 (theta= 100.000 deg): losesome win=80/10800 rounds=1  #lose=10720 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=201 (theta= 100.500 deg): losesome win=79/10800 rounds=1  #lose=10721 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=202 (theta= 101.000 deg): losesome win=79/10800 rounds=1  #lose=10721 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=203 (theta= 101.500 deg): losesome win=78/10800 rounds=1  #lose=10722 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=204 (theta= 102.000 deg): losesome win=78/10800 rounds=1  #lose=10722 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=205 (theta= 102.500 deg): losesome win=77/10800 rounds=1  #lose=10723 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=206 (theta= 103.000 deg): losesome win=77/10800 rounds=1  #lose=10723 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=207 (theta= 103.500 deg): losesome win=76/10800 rounds=1  #lose=10724 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=208 (theta= 104.000 deg): losesome win=76/10800 rounds=1  #lose=10724 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=209 (theta= 104.500 deg): losesome win=75/10800 rounds=1  #lose=10725 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=210 (theta= 105.000 deg): losesome win=75/10800 rounds=1  #lose=10725 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=211 (theta= 105.500 deg): losesome win=74/10800 rounds=1  #lose=10726 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=212 (theta= 106.000 deg): losesome win=74/10800 rounds=1  #lose=10726 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=213 (theta= 106.500 deg): losesome win=73/10800 rounds=1  #lose=10727 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=214 (theta= 107.000 deg): losesome win=73/10800 rounds=1  #lose=10727 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=215 (theta= 107.500 deg): losesome win=72/10800 rounds=1  #lose=10728 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=216 (theta= 108.000 deg): losesome win=72/10800 rounds=1  #lose=10728 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=217 (theta= 108.500 deg): losesome win=71/10800 rounds=1  #lose=10729 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=218 (theta= 109.000 deg): losesome win=71/10800 rounds=1  #lose=10729 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=219 (theta= 109.500 deg): losesome win=70/10800 rounds=1  #lose=10730 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=220 (theta= 110.000 deg): losesome win=70/10800 rounds=1  #lose=10730 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=221 (theta= 110.500 deg): losesome win=69/10800 rounds=1  #lose=10731 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=222 (theta= 111.000 deg): losesome win=69/10800 rounds=1  #lose=10731 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=223 (theta= 111.500 deg): losesome win=68/10800 rounds=1  #lose=10732 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=224 (theta= 112.000 deg): losesome win=68/10800 rounds=1  #lose=10732 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=225 (theta= 112.500 deg): losesome win=67/10800 rounds=1  #lose=10733 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=226 (theta= 113.000 deg): losesome win=67/10800 rounds=1  #lose=10733 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=227 (theta= 113.500 deg): losesome win=66/10800 rounds=1  #lose=10734 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=228 (theta= 114.000 deg): losesome win=66/10800 rounds=1  #lose=10734 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=229 (theta= 114.500 deg): losesome win=65/10800 rounds=1  #lose=10735 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=230 (theta= 115.000 deg): losesome win=65/10800 rounds=1  #lose=10735 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=231 (theta= 115.500 deg): losesome win=64/10800 rounds=1  #lose=10736 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=232 (theta= 116.000 deg): losesome win=64/10800 rounds=1  #lose=10736 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=233 (theta= 116.500 deg): losesome win=63/10800 rounds=1  #lose=10737 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=234 (theta= 117.000 deg): losesome win=63/10800 rounds=1  #lose=10737 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=235 (theta= 117.500 deg): losesome win=62/10800 rounds=1  #lose=10738 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=236 (theta= 118.000 deg): losesome win=62/10800 rounds=1  #lose=10738 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=237 (theta= 118.500 deg): losesome win=61/10800 rounds=1  #lose=10739 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=238 (theta= 119.000 deg): losesome win=61/10800 rounds=1  #lose=10739 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=239 (theta= 119.500 deg): losesome win=60/10800 rounds=1  #lose=10740 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=240 (theta= 120.000 deg): losesome win=60/10800 rounds=1  #lose=10740 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=241 (theta= 120.500 deg): losesome win=59/10800 rounds=1  #lose=10741 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=242 (theta= 121.000 deg): losesome win=59/10800 rounds=1  #lose=10741 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=243 (theta= 121.500 deg): losesome win=58/10800 rounds=1  #lose=10742 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=244 (theta= 122.000 deg): losesome win=58/10800 rounds=1  #lose=10742 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=245 (theta= 122.500 deg): losesome win=57/10800 rounds=1  #lose=10743 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=246 (theta= 123.000 deg): losesome win=57/10800 rounds=1  #lose=10743 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=247 (theta= 123.500 deg): losesome win=56/10800 rounds=1  #lose=10744 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=248 (theta= 124.000 deg): losesome win=56/10800 rounds=1  #lose=10744 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=249 (theta= 124.500 deg): losesome win=55/10800 rounds=1  #lose=10745 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=250 (theta= 125.000 deg): losesome win=55/10800 rounds=1  #lose=10745 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=251 (theta= 125.500 deg): losesome win=54/10800 rounds=1  #lose=10746 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=252 (theta= 126.000 deg): losesome win=54/10800 rounds=1  #lose=10746 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=253 (theta= 126.500 deg): losesome win=53/10800 rounds=1  #lose=10747 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=254 (theta= 127.000 deg): losesome win=53/10800 rounds=1  #lose=10747 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=255 (theta= 127.500 deg): losesome win=52/10800 rounds=1  #lose=10748 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=256 (theta= 128.000 deg): losesome win=52/10800 rounds=1  #lose=10748 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=257 (theta= 128.500 deg): losesome win=51/10800 rounds=1  #lose=10749 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=258 (theta= 129.000 deg): losesome win=51/10800 rounds=1  #lose=10749 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=259 (theta= 129.500 deg): losesome win=50/10800 rounds=1  #lose=10750 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=260 (theta= 130.000 deg): losesome win=50/10800 rounds=1  #lose=10750 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=261 (theta= 130.500 deg): losesome win=49/10800 rounds=1  #lose=10751 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=262 (theta= 131.000 deg): losesome win=49/10800 rounds=1  #lose=10751 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=263 (theta= 131.500 deg): losesome win=48/10800 rounds=1  #lose=10752 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=264 (theta= 132.000 deg): losesome win=48/10800 rounds=1  #lose=10752 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=265 (theta= 132.500 deg): losesome win=47/10800 rounds=1  #lose=10753 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=266 (theta= 133.000 deg): losesome win=47/10800 rounds=1  #lose=10753 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=267 (theta= 133.500 deg): losesome win=46/10800 rounds=1  #lose=10754 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=268 (theta= 134.000 deg): losesome win=46/10800 rounds=1  #lose=10754 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=269 (theta= 134.500 deg): losesome win=45/10800 rounds=1  #lose=10755 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=270 (theta= 135.000 deg): losesome win=45/10800 rounds=1  #lose=10755 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=271 (theta= 135.500 deg): losesome win=44/10800 rounds=1  #lose=10756 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=272 (theta= 136.000 deg): losesome win=44/10800 rounds=1  #lose=10756 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=273 (theta= 136.500 deg): losesome win=43/10800 rounds=1  #lose=10757 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=274 (theta= 137.000 deg): losesome win=43/10800 rounds=1  #lose=10757 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=275 (theta= 137.500 deg): losesome win=42/10800 rounds=1  #lose=10758 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=276 (theta= 138.000 deg): losesome win=42/10800 rounds=1  #lose=10758 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=277 (theta= 138.500 deg): losesome win=41/10800 rounds=1  #lose=10759 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=278 (theta= 139.000 deg): losesome win=41/10800 rounds=1  #lose=10759 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=279 (theta= 139.500 deg): losesome win=40/10800 rounds=1  #lose=10760 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=280 (theta= 140.000 deg): losesome win=40/10800 rounds=1  #lose=10760 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=281 (theta= 140.500 deg): losesome win=39/10800 rounds=1  #lose=10761 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=282 (theta= 141.000 deg): losesome win=39/10800 rounds=1  #lose=10761 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=283 (theta= 141.500 deg): losesome win=38/10800 rounds=1  #lose=10762 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=284 (theta= 142.000 deg): losesome win=38/10800 rounds=1  #lose=10762 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=285 (theta= 142.500 deg): losesome win=37/10800 rounds=1  #lose=10763 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t=286 (theta= 143.000 deg): losesome win=37/10800 rounds=1  #lose=10763 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
